dhs_cc,ctry_code,surv_id,file_type,phase,url
AM,AM,492,PR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMPR72FL.zip&Tp=1&Ctry_Code=AM&surv_id=492&dm=1&dmode=nm
AM,AM,203,WI,42,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMWI42FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,354,GE,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMGE61FL.zip&Tp=2&Ctry_Code=AM&surv_id=354&dm=1&dmode=nm
AM,AM,492,GE,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMGE71FL.zip&Tp=2&Ctry_Code=AM&surv_id=492&dm=1&dmode=nm
AZ,AZ,279,BR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AZBR52FL.zip&Tp=1&Ctry_Code=AZ&surv_id=279&dm=1&dmode=nm
AZ,AZ,279,CR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AZCR52FL.zip&Tp=1&Ctry_Code=AZ&surv_id=279&dm=1&dmode=nm
AZ,AZ,279,HR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AZHR52FL.zip&Tp=1&Ctry_Code=AZ&surv_id=279&dm=1&dmode=nm
AZ,AZ,279,IR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AZIR52FL.zip&Tp=1&Ctry_Code=AZ&surv_id=279&dm=1&dmode=nm
AZ,AZ,279,KR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AZKR52FL.zip&Tp=1&Ctry_Code=AZ&surv_id=279&dm=1&dmode=nm
AZ,AZ,279,MR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AZMR52FL.zip&Tp=1&Ctry_Code=AZ&surv_id=279&dm=1&dmode=nm
AZ,AZ,279,PR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AZPR52FL.zip&Tp=1&Ctry_Code=AZ&surv_id=279&dm=1&dmode=nm
BD,BD,59,BR,31,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR31FL.zip&Tp=1&Ctry_Code=BD&surv_id=59&dm=1&dmode=nm
BD,BD,89,BR,3A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR3AFL.zip&Tp=1&Ctry_Code=BD&surv_id=89&dm=1&dmode=nm
BD,BD,135,BR,41,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR41FL.zip&Tp=1&Ctry_Code=BD&surv_id=135&dm=1&dmode=nm
BD,BD,236,BR,4J,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR4JFL.zip&Tp=1&Ctry_Code=BD&surv_id=236&dm=1&dmode=nm
BD,BD,287,BR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR51FL.zip&Tp=1&Ctry_Code=BD&surv_id=287&dm=1&dmode=nm
BD,BD,349,BR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR61FL.zip&Tp=1&Ctry_Code=BD&surv_id=349&dm=1&dmode=nm
BD,BD,461,BR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR72FL.zip&Tp=1&Ctry_Code=BD&surv_id=461&dm=1&dmode=nm
BD,BD,536,BR,7R,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR7RFL.zip&Tp=1&Ctry_Code=BD&surv_id=536&dm=1&dmode=nm
BD,BD,584,BR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDBR81FL.zip&Tp=1&Ctry_Code=BD&surv_id=584&dm=1&dmode=nm
BD,BD,59,CR,31,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDCR31FL.zip&Tp=1&Ctry_Code=BD&surv_id=59&dm=1&dmode=nm
BD,BD,89,CR,3A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDCR3AFL.zip&Tp=1&Ctry_Code=BD&surv_id=89&dm=1&dmode=nm
BD,BD,135,CR,41,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDCR41FL.zip&Tp=1&Ctry_Code=BD&surv_id=135&dm=1&dmode=nm
BD,BD,236,CR,4J,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDCR4JFL.zip&Tp=1&Ctry_Code=BD&surv_id=236&dm=1&dmode=nm
BD,BD,287,CR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDCR51FL.zip&Tp=1&Ctry_Code=BD&surv_id=287&dm=1&dmode=nm
BD,BD,349,CR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDCR61FL.zip&Tp=1&Ctry_Code=BD&surv_id=349&dm=1&dmode=nm
